AcFunc,nodes,layers,decrs,mse,time
<function selu at 0x7f65ea111170>,60.0,11.0,0.0,0.16504424159373593,0.7
<function selu at 0x7f65ea111170>,60.0,12.0,0.0,0.16794439286651577,0.7
<function selu at 0x7f65ea111170>,60.0,13.0,0.0,0.1531896336284059,0.68
<function selu at 0x7f65ea111170>,66.0,11.0,0.0,0.15931020793949852,0.65
<function selu at 0x7f65ea111170>,66.0,12.0,0.0,0.17365656687306386,0.68
<function selu at 0x7f65ea111170>,66.0,13.0,0.0,0.13976208253165703,0.7
<function selu at 0x7f65ea111170>,72.0,11.0,0.0,0.17114714639406187,0.66
<function selu at 0x7f65ea111170>,72.0,12.0,0.0,0.19923612756062475,0.7
<function selu at 0x7f65ea111170>,72.0,13.0,0.0,0.1407994370092949,1.38
<function selu at 0x7f65ea111170>,78.0,11.0,0.0,0.14081720062059816,0.78
<function selu at 0x7f65ea111170>,78.0,12.0,0.0,0.1624239200309081,0.82
<function selu at 0x7f65ea111170>,78.0,13.0,0.0,0.225475453192987,0.86
<function selu at 0x7f65ea111170>,84.0,11.0,0.0,0.29195070518697847,0.82
<function selu at 0x7f65ea111170>,84.0,12.0,0.0,0.1697074018813392,0.85
<function selu at 0x7f65ea111170>,84.0,13.0,0.0,0.24830229904184123,0.91
<function gelu at 0x7f65ea1119e0>,60.0,11.0,0.0,0.14025679783999945,0.71
<function gelu at 0x7f65ea1119e0>,60.0,12.0,0.0,0.22193780114804898,0.76
<function gelu at 0x7f65ea1119e0>,60.0,13.0,0.0,0.14924218413393367,0.79
<function gelu at 0x7f65ea1119e0>,66.0,11.0,0.0,0.10682973537533871,0.74
<function gelu at 0x7f65ea1119e0>,66.0,12.0,0.0,0.13054025785426873,0.77
<function gelu at 0x7f65ea1119e0>,66.0,13.0,0.0,0.12051162693778947,1.4
<function gelu at 0x7f65ea1119e0>,72.0,11.0,0.0,0.2072095630214052,0.75
<function gelu at 0x7f65ea1119e0>,72.0,12.0,0.0,0.13289380884916566,0.78
<function gelu at 0x7f65ea1119e0>,72.0,13.0,0.0,0.1819926375312237,0.83
<function gelu at 0x7f65ea1119e0>,78.0,11.0,0.0,0.10955415100834608,0.9
<function gelu at 0x7f65ea1119e0>,78.0,12.0,0.0,0.15937474737036839,0.95
<function gelu at 0x7f65ea1119e0>,78.0,13.0,0.0,0.13524997432172814,1.0
<function gelu at 0x7f65ea1119e0>,84.0,11.0,0.0,0.14387769872445844,0.95
<function gelu at 0x7f65ea1119e0>,84.0,12.0,0.0,0.16649215904591688,1.0
<function gelu at 0x7f65ea1119e0>,84.0,13.0,0.0,0.2522181325089882,1.15
