AcFunc,nodes,layers,decrs,mse,time
<function relu at 0x7fb1968659e0>,108.0,16.0,1.0,6.494966959752607,1.38
<function relu at 0x7fb1968659e0>,108.0,16.0,0.0,0.2101732250971107,1.64
<function selu at 0x7fb196865320>,60.0,8.0,1.0,0.1640727084682926,0.69
<function selu at 0x7fb196865320>,60.0,8.0,0.0,0.16199045497886516,0.71
<function selu at 0x7fb196865320>,60.0,10.0,1.0,0.15884755425060204,0.7
<function selu at 0x7fb196865320>,60.0,10.0,0.0,0.1612973878866934,1.39
<function selu at 0x7fb196865320>,60.0,12.0,1.0,0.17552887849908014,0.78
<function selu at 0x7fb196865320>,60.0,12.0,0.0,0.2004597729423808,0.87
<function selu at 0x7fb196865320>,60.0,14.0,1.0,0.2585596287243066,1.38
<function selu at 0x7fb196865320>,60.0,14.0,0.0,0.19058310148042512,1.38
<function selu at 0x7fb196865320>,60.0,16.0,1.0,0.18048027647365072,0.84
<function selu at 0x7fb196865320>,60.0,16.0,0.0,0.1907643874997872,1.38
<function selu at 0x7fb196865320>,72.0,8.0,1.0,0.21125026555467188,0.66
<function selu at 0x7fb196865320>,72.0,8.0,0.0,0.1517295946690114,0.76
<function selu at 0x7fb196865320>,72.0,10.0,1.0,0.19478679036637125,1.39
<function selu at 0x7fb196865320>,72.0,10.0,0.0,0.126905261141485,1.38
<function selu at 0x7fb196865320>,72.0,12.0,1.0,0.2074889855974017,0.76
<function selu at 0x7fb196865320>,72.0,12.0,0.0,0.193697274309033,1.38
<function selu at 0x7fb196865320>,72.0,14.0,1.0,0.24424213586755258,1.38
<function selu at 0x7fb196865320>,72.0,14.0,0.0,0.19978535639309408,1.38
<function selu at 0x7fb196865320>,72.0,16.0,1.0,0.3756331285918812,1.39
<function selu at 0x7fb196865320>,72.0,16.0,0.0,0.1764876165710749,1.22
<function selu at 0x7fb196865320>,84.0,8.0,1.0,0.17728097856446315,1.38
<function selu at 0x7fb196865320>,84.0,8.0,0.0,0.1497705196559744,0.92
<function selu at 0x7fb196865320>,84.0,10.0,1.0,0.1684382801806732,1.38
<function selu at 0x7fb196865320>,84.0,10.0,0.0,0.17592584448212395,1.05
<function selu at 0x7fb196865320>,84.0,12.0,1.0,0.30941570767000964,1.38
<function selu at 0x7fb196865320>,84.0,12.0,0.0,0.1539666846875876,1.19
<function selu at 0x7fb196865320>,84.0,14.0,1.0,0.22198733594268952,0.86
<function selu at 0x7fb196865320>,84.0,14.0,0.0,0.2177229148954754,1.33
<function selu at 0x7fb196865320>,84.0,16.0,1.0,0.1940104572802819,1.02
<function selu at 0x7fb196865320>,84.0,16.0,0.0,0.1718711489279571,1.47
<function selu at 0x7fb196865320>,96.0,8.0,1.0,0.18771876529656487,1.38
<function selu at 0x7fb196865320>,96.0,8.0,0.0,0.20693596994157412,0.89
<function selu at 0x7fb196865320>,96.0,10.0,1.0,0.13432054411247488,1.38
<function selu at 0x7fb196865320>,96.0,10.0,0.0,0.3278340235120062,1.01
<function selu at 0x7fb196865320>,96.0,12.0,1.0,0.1553770534980978,0.88
<function selu at 0x7fb196865320>,96.0,12.0,0.0,0.2239370667581702,1.08
<function selu at 0x7fb196865320>,96.0,14.0,1.0,0.2231673020560557,0.93
<function selu at 0x7fb196865320>,96.0,14.0,0.0,0.17611291398109205,1.38
<function selu at 0x7fb196865320>,96.0,16.0,1.0,0.3823949941833524,1.39
<function selu at 0x7fb196865320>,96.0,16.0,0.0,0.15757506544480027,2.38
<function selu at 0x7fb196865320>,108.0,8.0,1.0,0.1600643671842226,1.38
<function selu at 0x7fb196865320>,108.0,8.0,0.0,0.1570507331534731,1.06
<function selu at 0x7fb196865320>,108.0,10.0,1.0,0.1404090830070018,1.38
<function selu at 0x7fb196865320>,108.0,10.0,0.0,0.166860413089634,1.19
<function selu at 0x7fb196865320>,108.0,12.0,1.0,0.23751748572382606,0.92
<function selu at 0x7fb196865320>,108.0,12.0,0.0,0.2077822629378147,1.38
<function selu at 0x7fb196865320>,108.0,14.0,1.0,0.2160628435420211,1.38
<function selu at 0x7fb196865320>,108.0,14.0,0.0,0.18223711215729685,1.54
<function selu at 0x7fb196865320>,108.0,16.0,1.0,0.16305223528338625,1.09
<function selu at 0x7fb196865320>,108.0,16.0,0.0,0.33973476048328477,1.72
<function gelu at 0x7fb196865b90>,60.0,8.0,1.0,0.28915970679036523,0.71
<function gelu at 0x7fb196865b90>,60.0,8.0,0.0,0.16060927993717855,0.78
<function gelu at 0x7fb196865b90>,60.0,10.0,1.0,0.5972546533543172,0.85
<function gelu at 0x7fb196865b90>,60.0,10.0,0.0,0.14607918002857248,0.91
<function gelu at 0x7fb196865b90>,60.0,12.0,1.0,0.6084830728434532,1.4
<function gelu at 0x7fb196865b90>,60.0,12.0,0.0,0.15615459898729372,1.4
<function gelu at 0x7fb196865b90>,60.0,14.0,1.0,0.6601725067971743,1.41
<function gelu at 0x7fb196865b90>,60.0,14.0,0.0,0.17837303102402713,1.11
<function gelu at 0x7fb196865b90>,60.0,16.0,1.0,0.1502267645214354,0.99
<function gelu at 0x7fb196865b90>,60.0,16.0,0.0,0.1572532371715583,1.2
<function gelu at 0x7fb196865b90>,72.0,8.0,1.0,0.17389039858208896,0.71
<function gelu at 0x7fb196865b90>,72.0,8.0,0.0,0.16964084053832704,0.88
<function gelu at 0x7fb196865b90>,72.0,10.0,1.0,0.45711439749564836,0.86
<function gelu at 0x7fb196865b90>,72.0,10.0,0.0,0.1463620987618631,1.39
<function gelu at 0x7fb196865b90>,72.0,12.0,1.0,0.19322254178471787,0.89
<function gelu at 0x7fb196865b90>,72.0,12.0,0.0,0.30297589624140564,1.09
<function gelu at 0x7fb196865b90>,72.0,14.0,1.0,0.42257999646555244,1.08
<function gelu at 0x7fb196865b90>,72.0,14.0,0.0,0.1710629232890261,1.25
<function gelu at 0x7fb196865b90>,72.0,16.0,1.0,0.6197485732263264,1.16
<function gelu at 0x7fb196865b90>,72.0,16.0,0.0,0.15765310763044743,1.45
<function gelu at 0x7fb196865b90>,84.0,8.0,1.0,0.1878316088403995,0.8
<function gelu at 0x7fb196865b90>,84.0,8.0,0.0,0.27171071478806336,1.39
<function gelu at 0x7fb196865b90>,84.0,10.0,1.0,0.5998396291093233,1.39
<function gelu at 0x7fb196865b90>,84.0,10.0,0.0,0.17843427037464005,1.24
<function gelu at 0x7fb196865b90>,84.0,12.0,1.0,0.6374623157498839,1.41
<function gelu at 0x7fb196865b90>,84.0,12.0,0.0,0.19298238023302527,1.44
<function gelu at 0x7fb196865b90>,84.0,14.0,1.0,0.30364488439624293,1.04
<function gelu at 0x7fb196865b90>,84.0,14.0,0.0,0.1543214567480121,1.65
<function gelu at 0x7fb196865b90>,84.0,16.0,1.0,0.16963425582371622,1.41
<function gelu at 0x7fb196865b90>,84.0,16.0,0.0,0.1981157294120508,1.87
<function gelu at 0x7fb196865b90>,96.0,8.0,1.0,0.6201005227929687,0.79
<function gelu at 0x7fb196865b90>,96.0,8.0,0.0,0.17559327453382986,0.99
<function gelu at 0x7fb196865b90>,96.0,10.0,1.0,0.41477500899231057,1.39
<function gelu at 0x7fb196865b90>,96.0,10.0,0.0,0.205323930668398,1.2
<function gelu at 0x7fb196865b90>,96.0,12.0,1.0,0.16971640793007237,1.41
<function gelu at 0x7fb196865b90>,96.0,12.0,0.0,0.17200588995726007,1.31
<function gelu at 0x7fb196865b90>,96.0,14.0,1.0,0.31013556988391494,1.4
<function gelu at 0x7fb196865b90>,96.0,14.0,0.0,0.7908022586094362,1.52
<function gelu at 0x7fb196865b90>,96.0,16.0,1.0,0.14594795847630773,1.28
<function gelu at 0x7fb196865b90>,96.0,16.0,0.0,0.14316887631107125,1.66
<function gelu at 0x7fb196865b90>,108.0,8.0,1.0,0.38421934268896907,1.39
<function gelu at 0x7fb196865b90>,108.0,8.0,0.0,0.13533082072435923,1.39
<function gelu at 0x7fb196865b90>,108.0,10.0,1.0,0.6061593002838279,0.99
<function gelu at 0x7fb196865b90>,108.0,10.0,0.0,0.17468867541855188,1.46
<function gelu at 0x7fb196865b90>,108.0,12.0,1.0,0.7523473706139877,1.1
<function gelu at 0x7fb196865b90>,108.0,12.0,0.0,0.2910641277153855,1.66
<function gelu at 0x7fb196865b90>,108.0,14.0,1.0,0.35535705508193677,1.29
<function gelu at 0x7fb196865b90>,108.0,14.0,0.0,0.7339738769121141,1.92
<function gelu at 0x7fb196865b90>,108.0,16.0,1.0,0.4412900414853677,1.28
<function gelu at 0x7fb196865b90>,108.0,16.0,0.0,0.18657170251562163,2.05
