AcFunc,nodes,layers,decrs,mse,time
<function relu at 0x7fb1968659e0>,60.0,8.0,1.0,0.2113139871259149,0.7
<function relu at 0x7fb1968659e0>,60.0,8.0,0.0,0.19176208693248037,0.67
<function relu at 0x7fb1968659e0>,60.0,10.0,1.0,0.4538642477670333,0.7
<function relu at 0x7fb1968659e0>,60.0,10.0,0.0,0.18176449600888148,1.39
<function relu at 0x7fb1968659e0>,60.0,12.0,1.0,0.9299535234577371,0.72
<function relu at 0x7fb1968659e0>,60.0,12.0,0.0,0.1428894077034499,0.84
<function relu at 0x7fb1968659e0>,60.0,14.0,1.0,0.20209521663822183,0.8
<function relu at 0x7fb1968659e0>,60.0,14.0,0.0,0.23883772895337343,1.38
<function relu at 0x7fb1968659e0>,60.0,16.0,1.0,0.9346816033022055,1.0
<function relu at 0x7fb1968659e0>,60.0,16.0,0.0,0.3199900561288746,1.39
<function relu at 0x7fb1968659e0>,72.0,8.0,1.0,0.5174905277324183,0.7
<function relu at 0x7fb1968659e0>,72.0,8.0,0.0,0.20963495332655355,1.38
<function relu at 0x7fb1968659e0>,72.0,10.0,1.0,6.494136966763932,0.72
<function relu at 0x7fb1968659e0>,72.0,10.0,0.0,0.39247666274654885,0.8
<function relu at 0x7fb1968659e0>,72.0,12.0,1.0,0.425969669032348,1.38
<function relu at 0x7fb1968659e0>,72.0,12.0,0.0,0.18097468321904478,0.88
<function relu at 0x7fb1968659e0>,72.0,14.0,1.0,6.493908270624058,0.84
<function relu at 0x7fb1968659e0>,72.0,14.0,0.0,0.1983075289940391,0.97
<function relu at 0x7fb1968659e0>,72.0,16.0,1.0,6.4936585792963,1.39
<function relu at 0x7fb1968659e0>,72.0,16.0,0.0,0.18761762504079404,1.05
<function relu at 0x7fb1968659e0>,84.0,8.0,1.0,0.478593975218767,1.38
<function relu at 0x7fb1968659e0>,84.0,8.0,0.0,0.16089456371697866,0.88
<function relu at 0x7fb1968659e0>,84.0,10.0,1.0,0.4286467197129773,0.78
<function relu at 0x7fb1968659e0>,84.0,10.0,0.0,0.19138103872212292,1.03
<function relu at 0x7fb1968659e0>,84.0,12.0,1.0,0.9382013276195784,1.38
<function relu at 0x7fb1968659e0>,84.0,12.0,0.0,0.16356485898150472,1.19
<function relu at 0x7fb1968659e0>,84.0,14.0,1.0,0.9394815231298074,1.41
<function relu at 0x7fb1968659e0>,84.0,14.0,0.0,0.212153613571433,1.27
<function relu at 0x7fb1968659e0>,84.0,16.0,1.0,6.493443820219824,1.39
<function relu at 0x7fb1968659e0>,84.0,16.0,0.0,0.22142127317692684,1.51
<function relu at 0x7fb1968659e0>,96.0,8.0,1.0,0.21294046578231637,0.74
<function relu at 0x7fb1968659e0>,96.0,8.0,0.0,0.1966479330392994,1.38
<function relu at 0x7fb1968659e0>,96.0,10.0,1.0,0.22742652349578288,0.8
<function relu at 0x7fb1968659e0>,96.0,10.0,0.0,0.1933835896367499,0.93
<function relu at 0x7fb1968659e0>,96.0,12.0,1.0,0.4948160982817101,0.85
<function relu at 0x7fb1968659e0>,96.0,12.0,0.0,0.1722100001004486,1.04
<function relu at 0x7fb1968659e0>,96.0,14.0,1.0,6.493237142043872,0.89
<function relu at 0x7fb1968659e0>,96.0,14.0,0.0,0.19862930942422732,1.39
<function relu at 0x7fb1968659e0>,96.0,16.0,1.0,6.493946299469291,1.38
<function relu at 0x7fb1968659e0>,96.0,16.0,0.0,0.6779085429387589,1.28
<function relu at 0x7fb1968659e0>,108.0,8.0,1.0,0.21208193676275858,0.7
<function relu at 0x7fb1968659e0>,108.0,8.0,0.0,0.18262140205820396,0.99
<function relu at 0x7fb1968659e0>,108.0,10.0,1.0,0.9739167564935273,1.38
<function relu at 0x7fb1968659e0>,108.0,10.0,0.0,0.16462128814786695,1.38
<function relu at 0x7fb1968659e0>,108.0,12.0,1.0,0.17213974780279642,0.88
<function relu at 0x7fb1968659e0>,108.0,12.0,0.0,0.1778225211416328,1.39
<function relu at 0x7fb1968659e0>,108.0,14.0,1.0,6.494129388613872,1.38
<function relu at 0x7fb1968659e0>,108.0,14.0,0.0,0.2089684469340457,2.38
