AcFunc,nodes,layers,decrs,mse,time
<function gelu at 0x7f1448fca830>,60.0,13.0,0.0,0.15513546017230323,0.71
<function gelu at 0x7f1448fca830>,61.0,13.0,0.0,0.1254345255860636,0.71
<function gelu at 0x7f1448fca830>,62.0,13.0,0.0,0.13822421662534554,0.71
<function gelu at 0x7f1448fca830>,63.0,13.0,0.0,0.1869446608522335,0.68
<function gelu at 0x7f1448fca830>,64.0,13.0,0.0,0.14553754840716865,0.71
<function gelu at 0x7f1448fca830>,65.0,13.0,0.0,0.20335618271984301,0.75
<function gelu at 0x7f1448fca830>,66.0,13.0,0.0,0.13842271248871607,1.39
<function gelu at 0x7f1448fca830>,67.0,13.0,0.0,0.14663318921078533,0.76
<function gelu at 0x7f1448fca830>,68.0,13.0,0.0,0.20467743699865254,0.76
<function gelu at 0x7f1448fca830>,69.0,13.0,0.0,0.11865836334195833,0.77
<function gelu at 0x7f1448fca830>,70.0,13.0,0.0,0.12803888098134586,0.8
<function gelu at 0x7f1448fca830>,71.0,13.0,0.0,0.13430335212673122,0.86
<function gelu at 0x7f1448fca830>,72.0,13.0,0.0,0.14620528796317583,1.39
<function gelu at 0x7f1448fca830>,73.0,13.0,0.0,0.11807116911987722,0.85
<function gelu at 0x7f1448fca830>,74.0,13.0,0.0,0.19119146811901744,0.87
<function gelu at 0x7f1448fca830>,75.0,13.0,0.0,0.12052696353229018,0.87
<function gelu at 0x7f1448fca830>,76.0,13.0,0.0,0.19184604062436755,0.86
<function gelu at 0x7f1448fca830>,77.0,13.0,0.0,0.14998854519583746,0.87
<function gelu at 0x7f1448fca830>,78.0,13.0,0.0,0.1489416989083478,0.86
<function gelu at 0x7f1448fca830>,79.0,13.0,0.0,0.19618523370052876,0.87
<function gelu at 0x7f1448fca830>,80.0,13.0,0.0,0.123863019267478,0.79
<function gelu at 0x7f1448fca830>,81.0,13.0,0.0,0.15233416362091293,0.91
<function gelu at 0x7f1448fca830>,82.0,13.0,0.0,0.18172801118747595,0.96
<function gelu at 0x7f1448fca830>,83.0,13.0,0.0,0.14510966993033023,1.39
<function gelu at 0x7f1448fca830>,84.0,13.0,0.0,0.1311809453410226,0.93
<function gelu at 0x7f1448fca830>,85.0,13.0,0.0,0.8731294825009283,1.39
