AcFunc,nodes,layers,decrs,mse,time
<function gelu at 0x7f65ea1119e0>,60.0,12.0,0.0,0.13121010847903833,0.76
<function gelu at 0x7f65ea1119e0>,60.0,13.0,0.0,0.12381901328263274,0.79
<function gelu at 0x7f65ea1119e0>,60.0,14.0,0.0,0.12895725633836824,0.84
<function gelu at 0x7f65ea1119e0>,62.0,12.0,0.0,0.12742761739384859,0.76
<function gelu at 0x7f65ea1119e0>,62.0,13.0,0.0,0.1164115393434244,0.8
<function gelu at 0x7f65ea1119e0>,62.0,14.0,0.0,0.17298221654840162,0.84
<function gelu at 0x7f65ea1119e0>,64.0,12.0,0.0,0.1334346493690008,0.76
<function gelu at 0x7f65ea1119e0>,64.0,13.0,0.0,0.12132618253598859,1.4
<function gelu at 0x7f65ea1119e0>,64.0,14.0,0.0,0.3048538137259211,0.83
<function gelu at 0x7f65ea1119e0>,66.0,12.0,0.0,0.12469666168225463,0.78
<function gelu at 0x7f65ea1119e0>,66.0,13.0,0.0,0.18835796394704366,0.81
<function gelu at 0x7f65ea1119e0>,66.0,14.0,0.0,0.13005927403145182,0.92
<function gelu at 0x7f65ea1119e0>,68.0,12.0,0.0,0.15882745003140747,0.79
<function gelu at 0x7f65ea1119e0>,68.0,13.0,0.0,0.152751416691236,0.83
<function gelu at 0x7f65ea1119e0>,68.0,14.0,0.0,0.20724348469551646,0.94
<function gelu at 0x7f65ea1119e0>,70.0,12.0,0.0,0.14590295740930534,0.78
<function gelu at 0x7f65ea1119e0>,70.0,13.0,0.0,0.1983291489546336,0.88
<function gelu at 0x7f65ea1119e0>,70.0,14.0,0.0,0.13925821299945962,1.4
<function gelu at 0x7f65ea1119e0>,72.0,12.0,0.0,0.1275720498547348,1.4
<function gelu at 0x7f65ea1119e0>,72.0,13.0,0.0,0.1142560573146926,0.82
<function gelu at 0x7f65ea1119e0>,72.0,14.0,0.0,0.31812211972980964,0.88
<function gelu at 0x7f65ea1119e0>,74.0,12.0,0.0,0.17560771061481611,0.91
<function gelu at 0x7f65ea1119e0>,74.0,13.0,0.0,0.20805960754441394,0.97
<function gelu at 0x7f65ea1119e0>,74.0,14.0,0.0,0.15603447000904797,1.09
<function gelu at 0x7f65ea1119e0>,76.0,12.0,0.0,0.13732450512247585,0.91
<function gelu at 0x7f65ea1119e0>,76.0,13.0,0.0,0.17742465113459827,1.02
<function gelu at 0x7f65ea1119e0>,76.0,14.0,0.0,0.1283851907440866,1.03
<function gelu at 0x7f65ea1119e0>,78.0,12.0,0.0,0.18240736365231608,0.95
<function gelu at 0x7f65ea1119e0>,78.0,13.0,0.0,0.14586353943864083,1.07
<function gelu at 0x7f65ea1119e0>,78.0,14.0,0.0,0.13236883909904176,1.06
<function gelu at 0x7f65ea1119e0>,80.0,12.0,0.0,0.21324048330093295,0.83
<function gelu at 0x7f65ea1119e0>,80.0,13.0,0.0,0.19684333014864655,0.89
<function gelu at 0x7f65ea1119e0>,80.0,14.0,0.0,0.15984049648206708,0.96
<function gelu at 0x7f65ea1119e0>,82.0,12.0,0.0,0.15097958961633856,1.0
<function gelu at 0x7f65ea1119e0>,82.0,13.0,0.0,0.1376119470669434,1.07
<function gelu at 0x7f65ea1119e0>,82.0,14.0,0.0,0.15883108509714794,1.3
<function gelu at 0x7f65ea1119e0>,84.0,12.0,0.0,0.33917251551017064,2.4
<function gelu at 0x7f65ea1119e0>,84.0,13.0,0.0,0.20863514879132947,1.09
<function gelu at 0x7f65ea1119e0>,84.0,14.0,0.0,0.14882525526774776,1.15
