AcFunc,nodes,layers,decrs,mse,time
<function selu at 0x7fb196865320>,48.0,10.0,0.0,0.19157062739646905,1.38
<function selu at 0x7fb196865320>,48.0,12.0,1.0,0.16886537603674404,1.38
<function selu at 0x7fb196865320>,48.0,12.0,0.0,0.17756022937026766,0.79
<function selu at 0x7fb196865320>,48.0,14.0,1.0,0.16836049934121974,1.38
<function selu at 0x7fb196865320>,48.0,14.0,0.0,0.18103492117726355,0.86
<function selu at 0x7fb196865320>,60.0,6.0,1.0,0.24188251848281883,0.53
<function selu at 0x7fb196865320>,60.0,6.0,0.0,0.16491994946298838,0.67
<function selu at 0x7fb196865320>,60.0,8.0,1.0,0.18443214210737377,0.62
<function selu at 0x7fb196865320>,60.0,8.0,0.0,0.22314209251785927,1.38
<function selu at 0x7fb196865320>,60.0,10.0,1.0,0.17105967100310598,0.67
<function selu at 0x7fb196865320>,60.0,10.0,0.0,0.15381730891966106,0.78
<function selu at 0x7fb196865320>,60.0,12.0,1.0,0.16236488747344527,1.38
<function selu at 0x7fb196865320>,60.0,12.0,0.0,0.1606391604176357,1.38
<function selu at 0x7fb196865320>,60.0,14.0,1.0,0.36852742076549566,1.38
<function selu at 0x7fb196865320>,60.0,14.0,0.0,0.15407928880319385,0.95
<function selu at 0x7fb196865320>,72.0,6.0,1.0,0.2631283614151373,0.69
<function selu at 0x7fb196865320>,72.0,6.0,0.0,0.24863424888175711,0.69
<function selu at 0x7fb196865320>,72.0,8.0,1.0,0.1422391629377765,0.63
<function selu at 0x7fb196865320>,72.0,8.0,0.0,0.14660059088806887,0.74
<function selu at 0x7fb196865320>,72.0,10.0,1.0,0.1579146264240009,0.72
<function selu at 0x7fb196865320>,72.0,10.0,0.0,0.20327104217412406,0.84
<function selu at 0x7fb196865320>,72.0,12.0,1.0,0.1662436260830762,0.76
<function selu at 0x7fb196865320>,72.0,12.0,0.0,0.2815900875132027,0.92
<function selu at 0x7fb196865320>,72.0,14.0,1.0,0.21628768195918982,1.38
<function selu at 0x7fb196865320>,72.0,14.0,0.0,0.20909029092262896,1.02
<function selu at 0x7fb196865320>,84.0,6.0,1.0,0.22351828768098034,0.69
<function selu at 0x7fb196865320>,84.0,6.0,0.0,0.34337725852501266,1.38
<function selu at 0x7fb196865320>,84.0,8.0,1.0,0.17988141781662875,1.38
<function selu at 0x7fb196865320>,84.0,8.0,0.0,0.15267977746513647,0.92
<function selu at 0x7fb196865320>,84.0,10.0,1.0,0.1950482483996699,1.38
<function selu at 0x7fb196865320>,84.0,10.0,0.0,0.17167081742354684,1.07
<function selu at 0x7fb196865320>,84.0,12.0,1.0,0.19301796630932572,0.8
<function selu at 0x7fb196865320>,84.0,12.0,0.0,0.2926023358021764,1.38
<function selu at 0x7fb196865320>,84.0,14.0,1.0,0.19689476288353633,0.96
<function selu at 0x7fb196865320>,84.0,14.0,0.0,0.16394937137270427,1.37
<function gelu at 0x7fb196865b90>,36.0,6.0,1.0,0.22027361613820437,0.55
<function gelu at 0x7fb196865b90>,36.0,6.0,0.0,0.20413961073496362,0.62
<function gelu at 0x7fb196865b90>,36.0,8.0,1.0,0.22582367749829446,0.71
<function gelu at 0x7fb196865b90>,36.0,8.0,0.0,0.1849984892971776,1.39
<function gelu at 0x7fb196865b90>,36.0,10.0,1.0,0.23571581273552564,0.72
<function gelu at 0x7fb196865b90>,36.0,10.0,0.0,0.19215127906156096,0.82
<function gelu at 0x7fb196865b90>,36.0,12.0,1.0,0.19932024706078189,1.4
<function gelu at 0x7fb196865b90>,36.0,12.0,0.0,0.18046390601936693,1.4
