AcFunc,nodes,layers,decrs,mse,time
<function relu at 0x7fb1968659e0>,12.0,2.0,1.0,3.7454263835421675,0.69
<function relu at 0x7fb1968659e0>,12.0,2.0,0.0,0.4981029015264519,0.4
<function relu at 0x7fb1968659e0>,12.0,4.0,1.0,0.3794085627907484,0.43
<function relu at 0x7fb1968659e0>,12.0,4.0,0.0,0.286946029071871,0.69
<function relu at 0x7fb1968659e0>,12.0,6.0,1.0,0.8006724651560383,0.46
<function relu at 0x7fb1968659e0>,12.0,6.0,0.0,0.33980478078540616,0.46
<function relu at 0x7fb1968659e0>,12.0,8.0,1.0,0.9894731529307208,0.69
<function relu at 0x7fb1968659e0>,12.0,8.0,0.0,0.2942752032654623,0.69
<function relu at 0x7fb1968659e0>,12.0,10.0,1.0,1.22861153279562,1.19
<function relu at 0x7fb1968659e0>,12.0,10.0,0.0,0.2764779526702856,0.52
<function relu at 0x7fb1968659e0>,24.0,2.0,1.0,0.622850258165122,0.39
<function relu at 0x7fb1968659e0>,24.0,2.0,0.0,0.34931058786955227,0.69
<function relu at 0x7fb1968659e0>,24.0,4.0,1.0,0.7454605789626441,0.44
<function relu at 0x7fb1968659e0>,24.0,4.0,0.0,0.283466081082398,0.69
<function relu at 0x7fb1968659e0>,24.0,6.0,1.0,1.0697454478720048,0.5
<function relu at 0x7fb1968659e0>,24.0,6.0,0.0,0.22904276882621705,0.51
<function relu at 0x7fb1968659e0>,24.0,8.0,1.0,0.26318257335058,0.53
<function relu at 0x7fb1968659e0>,24.0,8.0,0.0,0.24176424258485812,0.56
<function relu at 0x7fb1968659e0>,24.0,10.0,1.0,0.279586842229634,0.7
<function relu at 0x7fb1968659e0>,24.0,10.0,0.0,0.2674600945699371,0.67
<function relu at 0x7fb1968659e0>,36.0,2.0,1.0,1.9422408709001382,0.39
<function relu at 0x7fb1968659e0>,36.0,2.0,0.0,0.3170361617067802,0.42
<function relu at 0x7fb1968659e0>,36.0,4.0,1.0,0.2991809321875562,0.45
<function relu at 0x7fb1968659e0>,36.0,4.0,0.0,0.2820188992813247,0.48
