AcFunc1,AcFunc2,nodes,layers,decrs,mse,time
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,12.0,0.0,0.16342802016208147,0.82
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,13.0,0.0,0.13000492372247488,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,14.0,0.0,0.14299244521156823,0.86
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,17.0,0.0,0.15787190719037492,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,19.0,0.0,0.18115034724245976,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,37.0,18.0,0.0,0.31234903645028056,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,12.0,0.0,0.15796661622837402,0.78
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,13.0,0.0,0.13896647817591734,0.83
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,14.0,0.0,0.2595027221749481,1.39
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,17.0,0.0,0.13997736924574491,0.97
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,19.0,0.0,0.13907237284483362,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,38.0,18.0,0.0,0.15665539924093264,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,12.0,0.0,0.14582728962236013,0.82
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,13.0,0.0,0.1331811562437884,0.84
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,14.0,0.0,0.17650787347841335,0.92
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,17.0,0.0,0.1364901284475113,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,19.0,0.0,0.15670197070164874,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,39.0,18.0,0.0,0.165977238883136,0.97
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,12.0,0.0,0.19308583948998032,0.87
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,13.0,0.0,0.23481202429271825,0.9
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,14.0,0.0,0.19500542201642598,0.96
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,17.0,0.0,0.4683266607049414,1.09
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,19.0,0.0,0.22123531429250515,1.41
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,55.0,18.0,0.0,0.21339178237403345,1.1
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,12.0,0.0,0.18061143818151643,0.85
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,13.0,0.0,0.12916801494745286,1.05
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,14.0,0.0,0.14608261608872014,1.0
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,17.0,0.0,0.3233200510779901,1.12
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,19.0,0.0,0.9170301858776301,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,56.0,18.0,0.0,0.20987988540085023,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,12.0,0.0,0.19150115894885095,1.4
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,13.0,0.0,0.1541509111794236,1.39
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,14.0,0.0,0.26458817436065685,1.39
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,17.0,0.0,0.2340823993394412,1.09
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,19.0,0.0,0.3171893229095033,1.14
<function gelu at 0x7f24adcce3b0>,<function tanh at 0x7f24adcce560>,57.0,18.0,0.0,0.22091943016388088,1.4
