AcFunc1,AcFunc2,nodes,layers,decrs,mse,time
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,6.0,0.0,0.19971311607973427,0.71
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,6.0,0.0,0.3019090699183546,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,6.0,1.0,0.17697284025852356,0.38
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,6.0,1.0,0.23104905288688526,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,10.0,0.0,0.2390353806706104,0.53
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,10.0,0.0,0.26873627812382395,0.51
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,10.0,1.0,0.2997278676695009,0.45
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,10.0,1.0,3.259079140409949,0.47
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,14.0,0.0,0.17559957992965444,0.62
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,14.0,0.0,0.2866172165086243,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,10.0,14.0,1.0,0.19909326696375598,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,10.0,14.0,1.0,3.420599716627679,0.47
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,6.0,0.0,0.1824630396588292,0.41
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,6.0,0.0,0.23414716033549457,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,6.0,1.0,0.8108223826176442,0.45
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,6.0,1.0,0.20389873016736035,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,10.0,0.0,0.19418076767242579,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,10.0,0.0,0.2159395938189402,0.47
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,10.0,1.0,0.487726742374881,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,10.0,1.0,0.19961123902015482,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,14.0,0.0,0.13496683924901037,0.55
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,14.0,0.0,0.236483549116008,0.55
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,20.0,14.0,1.0,0.14547285971109225,0.72
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,20.0,14.0,1.0,6.340976031597545,0.72
