AcFunc1,AcFunc2,nodes,layers,decrs,mse,time
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,6.0,0.0,0.16119573428457157,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,6.0,0.0,0.2441186185302486,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,6.0,1.0,0.12693395849821773,0.42
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,6.0,1.0,0.19168217797541337,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,10.0,0.0,0.17967744372311337,0.55
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,10.0,0.0,0.22458244648692433,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,10.0,1.0,0.1616492341396899,0.51
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,10.0,1.0,3.565507648483445,0.51
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,14.0,0.0,0.16380085902725142,0.69
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,14.0,0.0,0.2811487594168077,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,30.0,14.0,1.0,0.24697274516571321,0.71
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,30.0,14.0,1.0,0.2925777968137639,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,6.0,0.0,0.16569062787049926,0.71
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,6.0,0.0,0.18966707286513265,0.47
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,6.0,1.0,0.1786122014264034,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,6.0,1.0,0.5743672158168192,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,10.0,0.0,0.18274579561137602,0.6
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,10.0,0.0,0.1678702080385624,0.58
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,10.0,1.0,0.13379635907501444,0.53
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,10.0,1.0,0.19555587925047616,0.53
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,14.0,0.0,0.1440081896834451,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,14.0,0.0,0.2331084895775561,1.39
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,40.0,14.0,1.0,0.8737953381351651,0.61
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,40.0,14.0,1.0,0.9197860263555678,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,6.0,0.0,0.1662023123943446,0.71
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,6.0,0.0,0.21796251594137633,0.49
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,6.0,1.0,0.7956087791403557,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,6.0,1.0,0.3322304730435348,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,10.0,0.0,0.12491498629884493,0.65
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,10.0,0.0,0.16469347232480278,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,10.0,1.0,0.44160869291020644,0.58
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,10.0,1.0,0.545422879306911,0.56
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,14.0,0.0,0.12824723734416343,0.79
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,14.0,0.0,0.3944208983811839,0.8
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,50.0,14.0,1.0,0.1080089752272914,0.67
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,50.0,14.0,1.0,0.142628621753542,0.67
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,6.0,0.0,0.14822498247869773,0.53
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,6.0,0.0,0.3743885407179738,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,6.0,1.0,0.1566024756088954,0.43
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,6.0,1.0,0.5198618713828258,0.44
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,10.0,0.0,0.1690996370852463,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,10.0,0.0,0.17070931161509198,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,10.0,1.0,0.12329388101922911,0.57
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,10.0,1.0,0.20718941375033206,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,14.0,0.0,0.7109111975962162,1.39
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,14.0,0.0,0.17330752861404117,0.83
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,60.0,14.0,1.0,0.2953053905328491,0.73
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,60.0,14.0,1.0,0.5922705647794901,1.39
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,6.0,0.0,0.1576089394528669,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,6.0,0.0,0.16195732330478285,0.54
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,6.0,1.0,0.4517866549931303,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,6.0,1.0,0.5593464407344756,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,10.0,0.0,0.19245057275814667,0.72
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,10.0,0.0,0.23466135914735461,1.4
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,10.0,1.0,0.13354661866660966,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,10.0,1.0,2.1859504923571564,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,14.0,0.0,0.16353457517649136,1.39
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,14.0,0.0,1.0333217475521772,0.91
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,70.0,14.0,1.0,0.7728095033818935,1.4
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,70.0,14.0,1.0,0.1500049858202633,0.71
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,6.0,0.0,0.1604800776045034,0.55
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,6.0,0.0,0.321318957958623,0.55
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,6.0,1.0,1.4653547944718865,0.7
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,6.0,1.0,1.1040417942033312,0.7
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,10.0,0.0,0.1290138145430681,0.75
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,10.0,0.0,0.17260652872379986,1.39
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,10.0,1.0,0.12067868481644023,0.62
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,10.0,1.0,1.2912706820604336,0.61
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,14.0,0.0,0.1209675131177907,1.04
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,14.0,0.0,0.1999834935025355,0.95
<function gelu at 0x7fc20751d830>,<function tanh at 0x7fc20751d9e0>,80.0,14.0,1.0,0.18518570850895225,1.39
<function gelu at 0x7fc20751d830>,<function sigmoid at 0x7fc20751db90>,80.0,14.0,1.0,0.95071106340792,1.39
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,6.0,0.0,0.2771974368316832,0.4
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,6.0,0.0,0.28607583813399917,0.39
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,6.0,1.0,0.30974269858944536,0.35
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,6.0,1.0,0.2253403408740657,0.36
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,10.0,0.0,0.25847161114347594,0.47
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,10.0,0.0,0.20843000958380367,0.48
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,10.0,1.0,0.3039440499771353,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,10.0,1.0,0.37037415269693363,0.43
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,14.0,0.0,0.2963075191046467,0.54
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,14.0,0.0,0.25014396019570756,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,10.0,14.0,1.0,0.16832585090846872,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,10.0,14.0,1.0,0.19753310919995964,0.41
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,6.0,0.0,0.20048062208021158,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,6.0,0.0,0.284731909212169,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,6.0,1.0,0.2635855868997206,0.41
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,6.0,1.0,0.19707071715793975,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,10.0,0.0,0.17099323154927665,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,10.0,0.0,0.23205965505059026,0.43
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,10.0,1.0,0.2493027517441381,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,10.0,1.0,0.3991539911489083,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,14.0,0.0,0.15984099551758416,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,14.0,0.0,0.2906163583983344,0.5
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,20.0,14.0,1.0,0.42244068157578696,0.62
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,20.0,14.0,1.0,3.2877046292841525,0.6
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,6.0,0.0,0.20663065263346642,0.43
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,6.0,0.0,0.1706194561994203,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,6.0,1.0,0.3530302493161166,0.41
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,6.0,1.0,0.23195568427038196,0.41
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,10.0,0.0,0.17399636301321592,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,10.0,0.0,0.2946847093417976,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,10.0,1.0,0.17699511553816366,0.49
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,10.0,1.0,0.23634985016230928,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,14.0,0.0,0.15767606142194504,0.61
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,14.0,0.0,0.17346463000534618,0.61
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,30.0,14.0,1.0,0.17094054181271334,0.55
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,30.0,14.0,1.0,1.1690480729639883,0.56
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,6.0,0.0,0.22555770065853276,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,6.0,0.0,0.23744479034118418,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,6.0,1.0,0.1521277082383378,0.41
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,6.0,1.0,0.3654355185403427,0.41
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,10.0,0.0,0.21391149301541024,0.56
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,10.0,0.0,0.16066484336221717,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,10.0,1.0,0.21643851657836916,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,10.0,1.0,0.23838738033755288,0.51
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,14.0,0.0,0.13746867721347325,0.68
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,14.0,0.0,0.1602529468967404,0.66
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,40.0,14.0,1.0,0.14718535062137592,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,40.0,14.0,1.0,0.35104344903619655,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,6.0,0.0,0.20701463486341679,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,6.0,0.0,0.17496538196150901,0.47
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,6.0,1.0,0.19938253691506486,0.45
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,6.0,1.0,0.4204095358161585,0.45
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,10.0,0.0,0.15711302863840276,0.6
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,10.0,0.0,0.19885080399441138,0.71
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,10.0,1.0,0.1374897059290555,0.54
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,10.0,1.0,0.26686151737979946,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,14.0,0.0,0.1446555449610879,0.73
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,14.0,0.0,0.43290905089883136,0.72
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,50.0,14.0,1.0,0.15418395350045516,0.59
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,50.0,14.0,1.0,0.16966575152322025,0.6
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,6.0,0.0,0.2031425705244848,0.48
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,6.0,0.0,0.24412623630821148,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,6.0,1.0,0.29128309442221934,0.42
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,6.0,1.0,0.19784667657584099,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,10.0,0.0,0.2109135955447354,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,10.0,0.0,0.22653940649206747,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,10.0,1.0,0.17274350597687976,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,10.0,1.0,0.35761354438676934,0.52
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,14.0,0.0,0.14582874869770704,0.76
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,14.0,0.0,0.24793946070539963,0.75
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,60.0,14.0,1.0,0.271801342639489,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,60.0,14.0,1.0,1.3153142897791985,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,6.0,0.0,0.22301844906317006,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,6.0,0.0,0.21586159717261724,0.51
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,6.0,1.0,0.2456299474294903,0.45
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,6.0,1.0,0.1739045297378312,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,10.0,0.0,0.221878297904766,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,10.0,0.0,0.1786036196174251,0.71
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,10.0,1.0,0.15511477462117615,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,10.0,1.0,0.3121950031033692,0.7
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,14.0,0.0,0.1723361708202889,0.81
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,14.0,0.0,0.17330589542754854,0.82
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,70.0,14.0,1.0,0.14370337453277968,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,70.0,14.0,1.0,0.2976102906252051,0.66
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,6.0,0.0,0.24410490825035688,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,6.0,0.0,0.27464745393174633,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,6.0,1.0,0.1108180477806486,0.69
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,6.0,1.0,0.17498826846610566,0.49
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,10.0,0.0,0.21735932160935423,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,10.0,0.0,0.15703683695382972,0.69
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,10.0,1.0,0.15040904578335196,0.7
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,10.0,1.0,0.30284094742789125,0.58
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,14.0,0.0,0.12058237816896965,0.85
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,14.0,0.0,0.5542593437913907,0.89
<function selu at 0x7fc20751bf80>,<function tanh at 0x7fc20751d9e0>,80.0,14.0,1.0,0.13075902212800913,0.71
<function selu at 0x7fc20751bf80>,<function sigmoid at 0x7fc20751db90>,80.0,14.0,1.0,1.6841162962342417,0.7
